# Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Mean
1874,-2.3,-5.4,-3,3.3,7.4,14.6,17.8,15.9,12.5,8.4,0.5,999.9,999.9
1875,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1876,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1877,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1878,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1879,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1880,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1881,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1882,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1883,-12.2,-8,-6.5,4.1,11.8,19.1,18.2,15.4,13.4,6,3.1,-2.3,5.2
1884,-4.5,-4.1,-3.9,3.1,9.1,16.9,18.2,14.2,11.5,6.6,-3.1,-3.7,5
1885,999.9,999.9,999.9,999.9,999.9,14.6,20.3,14.4,9.1,5.1,-2,-4.1,999.9
1886,-8,-10.3,-6.9,5.9,10.8,16,17.1,16.2,10.5,4.2,1.9,-1.7,4.6
1887,-4.8,-3.5,-2.6,3.9,12,12.9,17.5,14.2,12.3,3.4,-0.4,-4.8,5
1888,-10.2,-12,-9.6,3.3,8.8,13.4,15.7,15,10.8,4.5,-1,-7,2.6
1889,-8.3,-9.3,-7.8,3.6,14.9,16.2,16.5,14.6,9.4,7.7,2.4,-4.8,4.6
1890,-4.2,-5.2,0.5,8,13.8,15.6,16.8,16.8,11.9,3.7,-2,-7.7,5.7
1891,-9.1,-4,-1.5,4.2,12,15.1,18.7,14,11,5.8,-3.7,-2.4,5
1892,-9,-8.5,-4.8,1.9,10,13.2,15.7,15.5,11.9,4.4,-1,-8.6,3.4
1893,-16.6,-15.1,-3.4,0.9,9.7,15.1,17,15.4,9.7,7.2,-0.7,-2.3,3.1
1894,-4.8,-3,-0.5,7.4,12,14.2,16.8,15.7,7.6,2.8,0.6,-4,5.4
1895,-6.2,-12.6,-4.9,3.7,13,16.2,17.3,15.7,10.9,6.2,1.4,-8.6,4.3
1896,-5.6,-7.1,-1.7,3,10.9,18.9,19.7,15.6,11,8.7,-4,-5.8,5.3
1897,-10.1,-7.9,-2.5,6,16.4,16.2,18.4,17.2,10.6,5.9,-0.2,-4.1,5.5
1898,-2.4,-6.1,-4.6,2.6,13.2,16.2,16.6,16.9,9.6,3.4,2.2,-1,5.6
1899,-4.2,-5.7,-5.6,4.4,9.8,11.6,19.7,13.4,11.5,6.3,2,-8.5,4.6
1900,999.9,999.9,999.9,2.5,9,14.5,17.1,999.9,999.9,999.9,999.9,-3.7,999.9
1901,-4.7,-9.9,-4.4,4.5,11.6,18.2,19.4,17.7,12,7.1,-1.9,-7,5.2
1902,-5.9,-7.5,-3.1,0.2,9.4,13.8,15.2,13.3,9.7,3.2,-3.1,-9.5,3
1903,-4.8,-1.6,2,999.9,11.8,17.1,16.8,14,12.2,2.1,1.2,999.9,999.9
1904,999.9,-5.8,-5.2,4.5,8.3,12.2,14.5,14,10.3,5.8,-1.5,-4.8,999.9
1905,-10.1,-4.3,-1.1,3,12.2,17.9,16.9,15.5,10.3,999.9,999.9,999.9,999.9
1906,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1907,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1908,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1909,-5.6,-12.1,-3.1,1,6.7,15,14.9,14.8,12.5,8.5,-2.6,-1.4,4.1
1910,-4.4,-2.4,0.4,6.5,12.9,15.8,17.1,13.6,11.5,4.1,-1.6,-1,6
1911,-5.8,-11.4,-2.7,3.7,12.1,13.6,15.7,999.9,999.9,999.9,999.9,999.9,999.9
1912,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1913,-7.8,-5.5,0.1,7.2,9.1,13.8,18.5,17.3,11,4.3,2.6,-4.3,5.5
1914,-8.3,-0.8,-1.5,4.6,11.7,16.1,21.2,13.6,10,2.1,-2,-0.4,5.5
1915,-6.8,-5.8,-8.7,4,9.3,13.1,17.9,14.5,999.9,999.9,999.9,999.9,999.9
1916,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1917,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1918,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1919,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1920,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1921,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1922,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1923,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1924,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1925,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1926,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1927,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1928,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,5.5,4.1,-5.3,999.9
1929,-10.8,-16.9,-5.1,999.9,13.5,13.7,17,16.4,10.3,7.2,2.7,0.1,999.9
1930,-1.3,-7.1,-0.9,6.5,12.6,15.3,17,16.5,9,6.3,1.8,-6.9,5.7
1931,-7.6,-10.5,-6.7,2.4,13.1,12.8,18,15.9,8.7,4.1,-0.6,-4.9,3.7
1932,-2.1,-10.6,-7.3,4.1,13.3,14.1,19.9,17.3,12.1,5.2,0.8,0.4,5.6
1933,-9,-7,-2.4,3.3,9,15.5,18.6,14.3,10.9,5.3,-3.7,-8.1,3.9
1934,-3.7,-4.1,-1.2,6.4,13.3,14.9,18.5,16.6,14.4,7.8,3.2,-5.8,6.7
1935,-9.7,-4.1,-1.9,4.3,8.2,16.8,15.2,16.4,11,8.4,-0.5,-3.1,5.1
1936,-2.9,-10.9,0.1,5,12.6,19.2,20.4,16.2,10.5,2.8,1.6,-0.3,6.2
1937,-9.3,-5.7,-1.5,6.8,13.5,17.8,17.2,18,13.2,6,1.4,-9.4,5.7
1938,-5.7,-3.5,1.5,3.6,10.7,14.6,20.5,19.5,13.7,7,3.7,-6.9,6.6
1939,-6,-0.5,-2.8,3.6,10.1,16.5,19,19.3,9.2,1.8,0.4,-5.6,5.4
1940,-15.7,-15.2,-7.2,2.6,12.8,15.8,18.5,15.1,10.7,4.3,2,-5.4,3.2
1941,-14.5,-8.6,-5.5,0.5,7.5,13.2,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1942,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
